Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.802846975088968,0.6610169491525424,0.5241935483870968,0.5847076461769115,0.8403139930674828
Random Forest,0.7779359430604982,0.6111111111111112,0.4435483870967742,0.514018691588785,0.8131382131592917
Decision Tree,0.7765124555160142,0.5847953216374269,0.5376344086021505,0.5602240896358543,0.794475845486057
Support Vector Machine,0.798576512455516,0.663003663003663,0.48655913978494625,0.5612403100775194,0.784983969855
K-Nearest Neighbors,0.7530249110320285,0.5377643504531722,0.478494623655914,0.5064011379800853,0.7694235393311057
